chip,status,lastupdate,machine_lat,machine_lon,store_lat,store_lon,distance,istoofar,isold,sourcedfrom,errmsg
0000355,no_store_gps,unknown,0,0,0,0,0.00,no,unknown,none,Error: Unable to retrieve GPS data and database is empty
0000165,valid,2025-05-27,45.451162,-122.571922,45.4436937,-122.5774862,0.51,no,no,particle,none
0000378,no_store_gps,unknown,0,0,0,0,0.00,no,unknown,none,Error: Unable to retrieve GPS data and database is empty
0000340,no_store_gps,unknown,0,0,0,0,0.00,no,unknown,none,Error: Unable to retrieve GPS data and database is empty
0000101,valid,2025-05-27,28.035411,-80.651667,39.977404,-111.7759179,1694.20,yes,no,particle,none
0000290,no_store_gps,unknown,0,0,0,0,0.00,no,unknown,none,Error: Unable to retrieve GPS data and database is empty
0000384,no_store_gps,unknown,0,0,0,0,0.00,no,unknown,none,Error: Unable to retrieve GPS data and database is empty
0000295,valid,2025-05-25,41.71173,-86.182712,0,0,0.00,unknown,no,particle,none
0000028,valid,2025-05-26,32.988736,-96.830628,35.5469066,-105.9056213,475.20,yes,no,particle,none
0000266,no_store_gps,unknown,0,0,0,0,0.00,no,unknown,none,Error: Unable to retrieve GPS data and database is empty
0000360,valid,2025-05-27,36.266916,-115.210801,0,0,0.00,unknown,no,particle,none
0000362,no_store_gps,unknown,0,0,0,0,0.00,no,unknown,none,Error: Unable to retrieve GPS data and database is empty
0000188,no_store_gps,unknown,0,0,0,0,0.00,no,unknown,none,Error: Unable to retrieve GPS data and database is empty
0000286,valid,2025-05-24,38.007546,-121.851833,0,0,0.00,unknown,no,particle,none
0000282,valid,2025-05-08,37.820923,-121.300171,0,0,0.00,unknown,yes,particle,none
0000031,valid,2025-05-25,36.292114,-119.34021,36.2962781,-119.3339658,0.39,no,no,particle,none
0000052,valid,2025-05-25,43.237414,-123.367247,39.977404,-111.7759179,554.98,yes,no,particle,none
0000213,no_store_gps,unknown,0,0,0,0,0.00,no,unknown,none,Error: Unable to retrieve GPS data and database is empty
0000033,valid,2025-05-27,47.741473,-117.402902,47.7413104,-117.3994738,0.14,no,no,particle,none
0000122,valid,2025-05-27,43.676327,-116.308445,0,0,0.00,unknown,no,particle,none
0000078,valid,2025-05-27,25.968693,-80.313704,25.9767105,-80.3099072,0.52,no,no,particle,none
0000075,valid,2025-05-26,27.163014,-80.23907,27.1658235,-80.2297787,0.52,no,no,particle,none
0000021,valid,2025-05-27,38.775564,-77.502347,35.5469066,-105.9056213,1366.25,yes,no,particle,none
0000050,valid,2025-05-26,47.256677,-122.525324,47.2564283,-122.5202424,0.21,no,no,particle,none
0000177,valid,2025-05-26,45.613403,-122.936646,0,0,0.00,unknown,no,particle,none
