firestore_id,logistics_chipid,total_count,resend_count,startup_count

0RTpKRmcA6Jzlh9rrzrr,0000378,127,3,12

0iv1JwJZvv62ztwYAyof,0000101,188,1,2

0jwjciFs5Gf51fxHOUgU,0000290,0,0,0

0mjIKCg15OJChY8Wjeb9,0000295,697,75,5

0pQbw51OaI4E0yjcAVoK,0000028,1499,1,5

1LFKAacLM2eLZntkG1g3,0000360,2257,1144,23

1PaqTPloMZxK8acvacle,0000188,878,738,6

1Rh6UGfE0B101tzIsMiR,0000286,1787,123,5

1VEoYOgZRW6ykqkIAsOO,0000282,3765,361,5

1XSs9gczdGTHIqwutjMK,0000031,3613,18,5

1ZtVznM1ynN0DEHKwDRS,0000052,684,7,5

1tkaqcywBhtBZLNE6i8N,0000033,1106,0,5

1zgylebLoHJ0qG3xAbgj,0000122,769,65,6

240gTJmYAA3QGhhne85B,0000078,3083,209,6

2DT4NqRbxsVCujc4bW0A,0000075,586,76,4

2UyQcnz4uhewwANcLwbz,0000021,773,3,6

2Z8l7s7TdyJiLWYV1npG,0000050,780,0,5

2vUoyUeL2v1L6FMuEOW5,0000177,588,69,4

3K0hf99D3aOjBhR4QU1r,0000212,1131,139,5

3M6pCMBVkuDrzYPnCWeU,0000312,690,18,5

3tIUh5eciiZkZvEG5GxL,0000083,567,7,4

4E9dxnTlbBow6L2HOE99,0000223,769,86,5

4OcbapQoXCbiBjfoBtQM,0000014,786,6,25

4PlYFMvM8wVar8snIrLD,0000230,5361,610,11

4pPDtOGpAVxPZ3V0hOkV,0000232,668,3,5

4sHWWsSKLVNpyLoFmwXF,0000041,784,1,10

09yhPS2Yoe6eUMTVmGuj,0000355,0,0,0

5wnGLcoZzybvwm3ImndJ,0000082,618,3,7

6K2I9M386BLeyR4XoGGV,0000128,1491,7,11

6LKShFnrXj6bGYG94VPT,0000291,676,69,6

6suGXy5iXjBF6Zl7B5Yl,0000308,266,8,3

7HWoclbjWLVRovxUcz83,0000229,513,4,5

7IjTk8uu6SvKie3HiU1C,0000330,593,10,34

7flhulhFINvXPORbngvn,0000304,731,2,6

7r5nka0EOERiw1rhRZPh,0000359,378,0,12

8G1I3IezLPBBXbRjNYwb,0000043,776,8,6

8Oo0aLbCr5mLqw5qV4z4,0000281,540656,1630,4

8bR6UumEmOG15VSFFBlv,0000162,841,122,8

8cgasxjtciIN8KW3BB7s,0000317,193,55,9

8yaMQm0Ceib9uLltgtaK,0000357,369,3,2

9D099LHYkNpfprKguQjI,0000385,117,6,7

9ZnMHADrl82gTjWtUvrz,0000044,861,459,15

