chip,status,blockreason
0000355,unlinked,none
0000165,unchanged,none
0000378,unchanged,none
0000340,unlinked,none
0000101,updated,none
0000290,unchanged,none
0000384,unlinked,none
0000295,unchanged,none
0000028,updated,none
0000266,unlinked,none
0000360,unchanged,none
0000362,unlinked,none
0000188,unchanged,none
0000286,unchanged,none
0000282,unchanged,none
0000398,unlinked,none
0000031,unchanged,none
0000052,updated,none
0000213,unlinked,none
0000033,unchanged,none
0000122,unchanged,none
0000078,unchanged,none
0000075,unchanged,none
0000021,updated,none
0000050,unchanged,none
0000177,unchanged,none
0000205,unlinked,none
0000212,unchanged,none
0000196,unlinked,none
0000312,unchanged,none
0000034,unlinked,none
0000083,updated,none
0000035,unlinked,none
0000223,updated,none
0000380,unlinked,none
0000301,unlinked,none
0000014,unchanged,none
0000230,unchanged,none
0000232,unchanged,none
0000041,unchanged,none
0000376,unlinked,none
0000042,unchanged,none
0000104,unlinked,none
0000299,unchanged,none
0000082,updated,none
0000128,unchanged,none
0000291,unchanged,none
0000269,unlinked,none
0000308,updated,none
0000046,unlinked,none
0000229,unchanged,none
0000330,unchanged,none
0000304,unchanged,none
0000359,unchanged,none
0000043,unchanged,none
0000281,unchanged,none
0000162,updated,none
0000317,unchanged,none
0000357,unchanged,none
0000385,unchanged,none
0000044,unchanged,none
0000423,unlinked,none
0000306,unchanged,none
0000169,unlinked,none
0000381,unlinked,none
0000390,unlinked,none
0000038,unchanged,none
0000426,unlinked,none
0000204,unchanged,none
0000055,updated,none
0000243,unchanged,none
0000159,updated,none
0000246,updated,none
0000030,unlinked,none
0000374,unlinked,none
0000116,updated,none
0000097,updated,none
0000320,unchanged,none
0000040,unlinked,none
0000067,unchanged,none
0000427,unlinked,none
0000315,unchanged,none
0000240,unlinked,none
0000270,unchanged,none
0000365,unlinked,none
0000417,unlinked,none
0000061,unlinked,none
0000064,unlinked,none
0000218,unlinked,none
0000080,unchanged,none
0000256,unchanged,none
0000366,unlinked,none
0000347,unchanged,none
0000292,unlinked,none
0000400,unlinked,none
0000387,unchanged,none
0000247,unchanged,none
0000011,updated,none
0000045,updated,none
0000332,unchanged,none
0000321,updated,none
0000268,unchanged,none
0000344,unchanged,none
0000020,updated,none
0000349,unchanged,none
0000096,unchanged,none
0000113,unlinked,none
0000227,unchanged,none
0000237,unlinked,none
0000220,updated,none
0000379,unlinked,none
0000222,unchanged,none
0000208,unchanged,none
0000415,unlinked,none
0000129,unlinked,none
0000411,unlinked,none
0000193,updated,none
0000123,updated,none
0000322,unchanged,none
0000016,unchanged,none
0000288,unchanged,none
0000329,unlinked,none
0000260,unchanged,none
0000166,unlinked,none
0000211,unlinked,none
0000098,unchanged,none
0000277,unchanged,none
0000198,updated,none
0000221,unlinked,none
0000285,updated,none
0000239,unchanged,none
0000186,unchanged,none
0000394,unlinked,none
0000093,unchanged,none
0000187,unchanged,none
0000173,unlinked,none
0000029,unchanged,none
0000209,unchanged,none
0000081,updated,none
0000201,updated,none
0000157,unlinked,none
0000273,unchanged,none
0000408,unlinked,none
0000154,unchanged,none
0000302,unlinked,none
0000412,unlinked,none
0000401,unlinked,none
0000132,unchanged,none
0000370,unlinked,none
0000133,unchanged,none
0000189,unchanged,none
0000275,unchanged,none
0000323,unchanged,none
0000125,unchanged,none
0000199,unlinked,none
0000309,unchanged,none
0000079,updated,none
0000127,unchanged,none
0000094,unchanged,none
0000289,unchanged,none
0000018,unlinked,none
0000111,unchanged,none
0000251,unchanged,none
0000057,unchanged,none
0000130,unchanged,none
0000007,unlinked,none
0000274,unchanged,none
0000008,unlinked,none
0000200,unlinked,none
0000331,unlinked,none
0000242,updated,none
0000131,updated,none
0000280,unchanged,none
0000364,unlinked,none
0000032,unchanged,none
0000180,unchanged,none
